Truck Name,Days (ignition),Total Production,No. of Trips,Ignition On Hrs,Utilization Hrs,Distance (Km),Speed (Km/h),Loading Time (min),Unloading Time (min),Total Emissions
A-1,31,25020.21786,1312,489.0772222,192.8119111,2295.69,10.36113509,3.522475518,1.779959248,10812.3
A-2,33,18638.81847,1160,505.3391667,207.1083194,2677.6,11.30407248,3.027101638,2.276467792,12669.8
A-3,33,28038.32546,1427,552.8155583,256.530825,3006.74,10.54981257,3.517111096,2.319811987,15392.6
A-4,33,26247.80188,1457,563.8888889,223.4705417,2654.58,10.80819535,2.71476635,2.409836977,5139
A-5,32,27027.86375,1450,525.9830556,258.8069306,2742.82,9.526938331,3.399479857,2.061425908,4903.3
A-6,31,24061.73806,1195,425.9922222,177.8355167,2266.85,11.40408946,3.27976379,2.016643262,10954.8
A-7,32,22948.82191,1212,471.5041639,218.2032861,2780.61,11.71369403,4.28814641,2.067109507,8018.4
A-8,33,24925.98009,1309,534.4008333,249.0327806,2861.99,10.17454994,4.133125568,2.177784921,15550.1
A-9,33,24454.97146,1319,543.1908333,263.5585806,2936.52,9.918039026,4.579158141,2.092981496,5699.7
A-10,33,27539.05082,1449,506.9527806,211.2755417,2304.42,9.34120581,4.66683935,2.068965665,4049.4
A-11,33,3355.111621,187,213.7624917,18.05611389,195,8.052470753,0,2.740972222,2931.9
A-12,33,18994.17623,1011,500.6230556,251.3300056,3416.87,12.25888029,3.658450741,1.829394552,7798.3
A-13,33,23703.48594,1268,549.9686111,331.5902778,2476.66,10.39212755,3.85874671,2.442132408,12388.6
A-14,33,26222.15622,1396,530.2513889,220.6333056,2488.77,10.12618584,3.752222659,2.223080097,8242.7
A-15,33,9454.983588,534,527.1211111,189.6005417,2457.23,11.27022263,3.876936271,2.135250854,4300.9
A-16,33,19944.23266,1075,530.8869444,271.446925,3314.11,11.35175602,4.060578631,1.777465673,16865.4
A-17,33,28157.57025,1468,513.8138889,203.1844083,2358.81,10.28212045,3.961807638,2.167262901,5022.7
A-18,33,25536.2404,1366,521.9558333,271.8458194,2938.24,9.611952165,4.038421149,2.313895477,8175
A-19,33,15529.98775,923,527.8641667,242.6366667,2698.43,9.944744241,2.817959017,2.268718146,12204
A-20,29,1207.373682,84,72.81472222,26.86555556,804.96,24.63037261,2.652833333,1.327083333,231.8
A-21,2,0,0,0.2958333333,0,0.02,#N/A,#N/A,#N/A,0.2
A-22,33,12861.94865,987,499.0130528,250.9782944,2992.13,10.52138988,2.768587607,1.871970743,5962.8
A-23,33,26481.97758,1461,541.0113917,211.7144278,2742.63,11.86696619,2.576600367,2.339157896,14814.6
A-24,33,26742.6712,1361,509.0172222,208.0219278,2318.74,9.773684731,4.517714122,2.203997313,7484.9
A-25,33,27480.43505,1405,530.8952778,222.3841333,2377.84,9.494749522,4.006184181,1.988102617,13674
A-26,33,20617.54772,1142,545.2544444,226.597175,2463.49,9.707042783,3.590431566,2.179482989,10524.1
A-27,33,23296.72808,1187,534.1083333,225.5124917,2164.26,8.431034874,5.028707603,2.648903259,3686.5
A-28,33,14260.16852,797,511.9788944,225.9011028,2745.73,10.61448932,3.545808272,2.229631628,13659.2
A-29,27,1249.308116,69,175.7133333,22.67916944,523.28,20.73080063,3.488888889,2.296851852,1295.9
A-30,33,27688.69618,1465,520.8133389,221.0716528,2514.54,9.553232033,4.653343282,2.088796811,12100.8
A-31,33,3373.503492,196,556.3747222,274.0685944,3021.2,10.03244498,3.030209709,1.719394494,8966.5
A-32,33,18011.55956,858,515.025,219.7277639,2318.09,9.882602524,2.409502286,2.337324575,12718.1
A-33,5,0,0,1.455555556,0.0005555555556,0.26,6,#N/A,#N/A,10.6
A-34,33,25594.29107,1420,530.4916611,203.5538861,2142.08,9.159084157,3.841560939,2.476834222,3967.7
A-35,33,26850.57814,1377,538.3961111,221.7855194,2601.43,10.08585598,3.954926275,2.118849647,4812.8
A-36,33,2199.658536,125,177.0513889,16.805,180.48,7.473582225,0,2.396527778,1801.7
A-37,33,25877.96348,1342,522.6111139,220.2019194,2618.73,10.0334639,4.397027225,1.676169807,10032.6
A-38,31,20838.98779,1122,467.1977778,215.4233111,2424.88,10.36423718,4.267548533,2.324317863,5095
A-39,34,4376.158593,282,374.3527722,134.7813917,4745.59,34.65469409,4.507751323,1.612927228,0
A-40,21,1226.953146,65,150.6194417,48.13361111,1944.76,37.69305917,2.891666667,2.049305556,3065.7
A-41,31,814.7545383,121,174.5788889,92.23942778,3693.43,38.54618176,1.504136142,1.431887755,0
A-42,32,23079.56651,1200,514.9733333,235.2652417,2559.37,9.792574324,4.331901199,2.450417365,9356.5
A-43,33,30844.27324,1576,565.8297222,203.9247139,2470.67,10.42852265,3.805793069,1.960978355,3289.8
A-44,33,23154.03124,1352,561.5241667,265.5124694,3381.04,11.52810627,3.516373475,2.208807177,4828.2
A-45,33,25090.1125,1345,508.2933333,193.3835778,2510.62,11.69532893,3.502862544,2.10161577,13660.2
A-46,2,0,0,0.01416666667,0,0,#N/A,#N/A,#N/A,0
A-47,31,18344.77524,995,442.4911111,188.5536056,1997.22,9.356959194,4.061173579,2.258438447,10371
A-48,18,413.2335741,20,91.20861111,48.66527778,2261.1,45.39554584,0,1.383333333,891.5
A-49,34,22291.96296,1245,516.6280556,242.5610833,3011.79,10.81925661,3.615621624,2.209393599,13191.5
A-50,27,333.6099226,17,59.87638889,6.502222222,134.76,20.96033098,1.574074074,,327